area_sqmi,wd_upstream_mgd,ps_upstream_mgd,Qreach,Qlake,imp_off,wd_mgd,ps_mgd,ps_trib_mgd,wd_trib_mgd,name,description,objectname,componentid,subshedid,dt,month,day,year,thisdate,time,timestamp,run_mode,week,Listen on Parent,Send to Children,Send to Parent,Listen to Children,Qout,ps_cumulative_mgd,wd_cumulative_mgd
"1460.05224235","6.03541781264","60.3712500001","3192.92187767","3192.92187767","1","0","0.00303333333333","0","0",,"","",0,"","","2","19","1984","1984-02-19","","446014800","2","7","0","0","0","0","3192.92187767","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","2412.81910148","2412.81910148","1","0","0.00303333333333","0","0",,"","",0,"","","2","20","1984","1984-02-20","","446101200","2","8","0","0","0","0","2412.81910148","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","2142.28608778","2142.28608778","1","0","0.00303333333333","0","0",,"","",0,"","","2","21","1984","1984-02-21","","446187600","2","8","0","0","0","0","2142.28608778","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","1972.48782005","1972.48782005","1","0","0.00303333333333","0","0",,"","",0,"","","2","22","1984","1984-02-22","","446274000","2","8","0","0","0","0","1972.48782005","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","1791.51497393","1791.51497393","1","0","0.00303333333333","0","0",,"","",0,"","","2","23","1984","1984-02-23","","446360400","2","8","0","0","0","0","1791.51497393","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","2416.55778821","2416.55778821","1","0","0.00303333333333","0","0",,"","",0,"","","2","24","1984","1984-02-24","","446446800","2","8","0","0","0","0","2416.55778821","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","3712.13824467","3712.13824467","1","0","0.00303333333333","0","0",,"","",0,"","","2","25","1984","1984-02-25","","446533200","2","8","0","0","0","0","3712.13824467","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","3939.0236143","3939.0236143","1","0","0.00303333333333","0","0",,"","",0,"","","2","26","1984","1984-02-26","","446619600","2","8","0","0","0","0","3939.0236143","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","3300.30382518","3300.30382518","1","0","0.00303333333333","0","0",,"","",0,"","","2","27","1984","1984-02-27","","446706000","2","9","0","0","0","0","3300.30382518","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","2643.4718742","2643.4718742","1","0","0.00303333333333","0","0",,"","",0,"","","2","28","1984","1984-02-28","","446792400","2","9","0","0","0","0","2643.4718742","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.3712500001","2164.4597219","2164.4597219","1","0","0.00303333333333","0","0",,"","",0,"","","2","29","1984","1984-02-29","","446878800","2","9","0","0","0","0","2164.4597219","60.3742833334","6.03541781264"
"1460.05224235","6.03541781264","60.9453833332","1917.07802671","1917.07802671","1","0","0.00383333333333","0","0",,"","",0,"","","3","1","1984","1984-03-01","","446965200","2","9","0","0","0","0","1917.07802671","60.9492166665","6.03541781264"
"1460.05224235","5.95499653173","60.9453833332","1764.27166557","1764.27166557","1","0","0.00383333333333","0","0",,"","",0,"","","3","2","1984","1984-03-02","","447051600","2","9","0","0","0","0","1764.27166557","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1637.54340405","1637.54340405","1","0","0.00383333333333","0","0",,"","",0,"","","3","3","1984","1984-03-03","","447138000","2","9","0","0","0","0","1637.54340405","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1525.17059488","1525.17059488","1","0","0.00383333333333","0","0",,"","",0,"","","3","4","1984","1984-03-04","","447224400","2","9","0","0","0","0","1525.17059488","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1435.46376309","1435.46376309","1","0","0.00383333333333","0","0",,"","",0,"","","3","5","1984","1984-03-05","","447310800","2","10","0","0","0","0","1435.46376309","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1392.01569984","1392.01569984","1","0","0.00383333333333","0","0",,"","",0,"","","3","6","1984","1984-03-06","","447397200","2","10","0","0","0","0","1392.01569984","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1392.86620814","1392.86620814","1","0","0.00383333333333","0","0",,"","",0,"","","3","7","1984","1984-03-07","","447483600","2","10","0","0","0","0","1392.86620814","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1387.37202387","1387.37202387","1","0","0.00383333333333","0","0",,"","",0,"","","3","8","1984","1984-03-08","","447570000","2","10","0","0","0","0","1387.37202387","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1350.17565428","1350.17565428","1","0","0.00383333333333","0","0",,"","",0,"","","3","9","1984","1984-03-09","","447656400","2","10","0","0","0","0","1350.17565428","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1299.33816606","1299.33816606","1","0","0.00383333333333","0","0",,"","",0,"","","3","10","1984","1984-03-10","","447742800","2","10","0","0","0","0","1299.33816606","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1246.76209799","1246.76209799","1","0","0.00383333333333","0","0",,"","",0,"","","3","11","1984","1984-03-11","","447829200","2","10","0","0","0","0","1246.76209799","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1194.30857658","1194.30857658","1","0","0.00383333333333","0","0",,"","",0,"","","3","12","1984","1984-03-12","","447915600","2","11","0","0","0","0","1194.30857658","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1163.53474682","1163.53474682","1","0","0.00383333333333","0","0",,"","",0,"","","3","13","1984","1984-03-13","","448002000","2","11","0","0","0","0","1163.53474682","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1239.48730364","1239.48730364","1","0","0.00383333333333","0","0",,"","",0,"","","3","14","1984","1984-03-14","","448088400","2","11","0","0","0","0","1239.48730364","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1399.7468846","1399.7468846","1","0","0.00383333333333","0","0",,"","",0,"","","3","15","1984","1984-03-15","","448174800","2","11","0","0","0","0","1399.7468846","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1478.64144576","1478.64144576","1","0","0.00383333333333","0","0",,"","",0,"","","3","16","1984","1984-03-16","","448261200","2","11","0","0","0","0","1478.64144576","60.9492166665","5.95499653173"
"1460.05224235","5.95499653173","60.9453833332","1465.78154212","1465.78154212","1","0","0.00383333333333","0","0",,"","",0,"","","3","17","1984","1984-03-17","","448347600","2","11","0","0","0","0","1465.78154212","60.9492166665","5.95499653173"
